id,time,topic,type,indicator,value,frequency,unit
DEG0P,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-10.87,monthly,°C
DEG0P,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.11,monthly,°C
DEG0P,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-8.11,monthly,°C
DEG0P,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-8.05,monthly,°C
DE21M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.21,monthly,°C
DE21M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.93,monthly,°C
DE21M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.41,monthly,°C
DE21M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.23,monthly,°C
DE21N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.09,monthly,°C
DE21N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.37,monthly,°C
DE21N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.39,monthly,°C
DE21N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.23,monthly,°C
DE248,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.97,monthly,°C
DE248,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.17,monthly,°C
DE248,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.78,monthly,°C
DE248,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.73,monthly,°C
DE249,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.19,monthly,°C
DE249,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.53,monthly,°C
DE249,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-7.48,monthly,°C
DE249,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-7.39,monthly,°C
DE24A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.97,monthly,°C
DE24A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.65,monthly,°C
DE24A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.42,monthly,°C
DE24A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.97,monthly,°C
DE24B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.09,monthly,°C
DE24B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.31,monthly,°C
DE24B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.36,monthly,°C
DE24B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.15,monthly,°C
DE24C,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-7.99,monthly,°C
DE24C,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.13,monthly,°C
DE24C,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.66,monthly,°C
DE24C,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.35,monthly,°C
DE24D,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.11,monthly,°C
DE24D,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.99,monthly,°C
DE24D,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.21,monthly,°C
DE24D,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.13,monthly,°C
DE251,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.35,monthly,°C
DE251,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.27,monthly,°C
DE251,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.82,monthly,°C
DE251,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.85,monthly,°C
DE252,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.53,monthly,°C
DE252,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.91,monthly,°C
DE252,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.88,monthly,°C
DE252,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.19,monthly,°C
DE253,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-0.49,monthly,°C
DE253,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.35,monthly,°C
DE253,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-0.42,monthly,°C
DE253,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-0.42,monthly,°C
DE254,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-2.21,monthly,°C
DE254,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,0.59,monthly,°C
DE254,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-0.76,monthly,°C
DE254,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-0.93,monthly,°C
DE255,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-1.35,monthly,°C
DE255,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.35,monthly,°C
DE255,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-1.35,monthly,°C
DE255,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-1.35,monthly,°C
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.35,monthly,°C
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.65,monthly,°C
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.40,monthly,°C
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.21,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-12.47,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.17,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.45,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.77,monthly,°C
